	compound	media	negative	neutral	positive	tweets ago
108	0.1867	@cbs	0.0	0.89	0.11	9
109	-0.296	@cbs	0.121	0.879	0.0	10
110	0.5423	@cbs	0.0	0.821	0.179	11
111	-0.5267	@cbs	0.167	0.833	0.0	12
112	0.5423	@cbs	0.0	0.857	0.143	13
113	0.0	@cbs	0.0	1.0	0.0	14
114	-0.7692	@cbs	0.267	0.733	0.0	15
115	0.8516	@cbs	0.0	0.66	0.34	16
116	0.0	@cbs	0.0	1.0	0.0	17
117	0.0	@cbs	0.0	1.0	0.0	18
118	0.7798	@cbs	0.0	0.736	0.264	19
119	0.0	@cbs	0.0	1.0	0.0	20
120	0.0	@cbs	0.0	1.0	0.0	21
121	0.0	@cbs	0.0	1.0	0.0	22
122	0.8271	@cbs	0.0	0.686	0.314	23
123	-0.7717	@cbs	0.226	0.774	0.0	24
124	0.0	@cbs	0.0	1.0	0.0	25
125	0.0	@cbs	0.0	1.0	0.0	26
126	0.0	@cbs	0.0	1.0	0.0	27
127	0.0	@cbs	0.0	1.0	0.0	28
128	0.1867	@cbs	0.0	0.89	0.11	29
129	-0.296	@cbs	0.121	0.879	0.0	30
130	0.5423	@cbs	0.0	0.821	0.179	31
131	-0.5267	@cbs	0.167	0.833	0.0	32
132	0.5423	@cbs	0.0	0.857	0.143	33
133	0.0	@cbs	0.0	1.0	0.0	34
134	-0.7692	@cbs	0.267	0.733	0.0	35
135	0.8516	@cbs	0.0	0.66	0.34	36
136	0.0	@cbs	0.0	1.0	0.0	37
137	0.0	@cbs	0.0	1.0	0.0	38
138	0.7798	@cbs	0.0	0.736	0.264	39
139	0.0	@cbs	0.0	1.0	0.0	40
140	0.0	@cbs	0.0	1.0	0.0	41
141	0.0	@cbs	0.0	1.0	0.0	42
142	0.8271	@cbs	0.0	0.686	0.314	43
143	-0.7717	@cbs	0.226	0.774	0.0	44
144	0.0	@cbs	0.0	1.0	0.0	45
145	0.0	@cbs	0.0	1.0	0.0	46
146	0.0	@cbs	0.0	1.0	0.0	47
147	0.0	@cbs	0.0	1.0	0.0	48
148	0.1867	@cbs	0.0	0.89	0.11	49
149	-0.296	@cbs	0.121	0.879	0.0	50
150	0.5423	@cbs	0.0	0.821	0.179	51
151	-0.5267	@cbs	0.167	0.833	0.0	52
152	0.5423	@cbs	0.0	0.857	0.143	53
153	0.0	@cbs	0.0	1.0	0.0	54
154	-0.7692	@cbs	0.267	0.733	0.0	55
155	0.8516	@cbs	0.0	0.66	0.34	56
156	0.0	@cbs	0.0	1.0	0.0	57
157	0.0	@cbs	0.0	1.0	0.0	58
158	0.7798	@cbs	0.0	0.736	0.264	59
159	0.0	@cbs	0.0	1.0	0.0	60
160	0.0	@cbs	0.0	1.0	0.0	61
161	0.0	@cbs	0.0	1.0	0.0	62
162	0.8271	@cbs	0.0	0.686	0.314	63
163	-0.7717	@cbs	0.226	0.774	0.0	64
164	0.0	@cbs	0.0	1.0	0.0	65
165	0.0	@cbs	0.0	1.0	0.0	66
166	0.0	@cbs	0.0	1.0	0.0	67
167	0.0	@cbs	0.0	1.0	0.0	68
168	0.1867	@cbs	0.0	0.89	0.11	69
169	-0.296	@cbs	0.121	0.879	0.0	70
170	0.5423	@cbs	0.0	0.821	0.179	71
171	-0.5267	@cbs	0.167	0.833	0.0	72
172	0.5423	@cbs	0.0	0.857	0.143	73
173	0.0	@cbs	0.0	1.0	0.0	74
174	-0.7692	@cbs	0.267	0.733	0.0	75
175	0.8516	@cbs	0.0	0.66	0.34	76
176	0.0	@cbs	0.0	1.0	0.0	77
177	0.0	@cbs	0.0	1.0	0.0	78
178	0.7798	@cbs	0.0	0.736	0.264	79
179	0.0	@cbs	0.0	1.0	0.0	80
180	0.0	@cbs	0.0	1.0	0.0	81
181	0.0	@cbs	0.0	1.0	0.0	82
182	0.8271	@cbs	0.0	0.686	0.314	83
183	-0.7717	@cbs	0.226	0.774	0.0	84
184	0.0	@cbs	0.0	1.0	0.0	85
185	0.0	@cbs	0.0	1.0	0.0	86
186	0.0	@cbs	0.0	1.0	0.0	87
187	0.0	@cbs	0.0	1.0	0.0	88
188	0.1867	@cbs	0.0	0.89	0.11	89
189	-0.296	@cbs	0.121	0.879	0.0	90
190	0.5423	@cbs	0.0	0.821	0.179	91
191	-0.5267	@cbs	0.167	0.833	0.0	92
192	0.5423	@cbs	0.0	0.857	0.143	93
193	0.0	@cbs	0.0	1.0	0.0	94
194	-0.7692	@cbs	0.267	0.733	0.0	95
195	0.8516	@cbs	0.0	0.66	0.34	96
196	0.0	@cbs	0.0	1.0	0.0	97
197	0.0	@cbs	0.0	1.0	0.0	98
198	0.7798	@cbs	0.0	0.736	0.264	99
199	0.0	@cbs	0.0	1.0	0.0	100
200	0.4215	@cnn	0.0	0.859	0.141	1
201	0.0	@cnn	0.0	1.0	0.0	2
202	0.4767	@cnn	0.0	0.744	0.256	3
203	-0.4019	@cnn	0.162	0.838	0.0	4
204	0.5859	@cnn	0.0	0.84	0.16	5
205	0.0	@cnn	0.0	1.0	0.0	6
206	0.0	@cnn	0.0	1.0	0.0	7
207	0.5256	@cnn	0.0	0.841	0.159	8
208	0.5423	@cnn	0.0	0.844	0.156	9
209	0.8885	@cnn	0.0	0.632	0.368	10
210	0.4926	@cnn	0.0	0.814	0.186	11
211	0.5267	@cnn	0.082	0.703	0.215	12
212	-0.296	@cnn	0.155	0.845	0.0	13
213	0.836	@cnn	0.0	0.622	0.378	14
214	0.836	@cnn	0.0	0.669	0.331	15
215	0.765	@cnn	0.0	0.68	0.32	16
216	0.5859	@cnn	0.0	0.833	0.167	17
217	0.836	@cnn	0.0	0.669	0.331	18
218	0.886	@cnn	0.0	0.62	0.38	19
219	0.886	@cnn	0.0	0.49	0.51	20
220	0.4215	@cnn	0.0	0.859	0.141	21
221	0.0	@cnn	0.0	1.0	0.0	22
222	0.4767	@cnn	0.0	0.744	0.256	23
223	-0.4019	@cnn	0.162	0.838	0.0	24
224	0.5859	@cnn	0.0	0.84	0.16	25
225	0.0	@cnn	0.0	1.0	0.0	26
226	0.0	@cnn	0.0	1.0	0.0	27
227	0.5256	@cnn	0.0	0.841	0.159	28
228	0.5423	@cnn	0.0	0.844	0.156	29
229	0.8885	@cnn	0.0	0.632	0.368	30
230	0.4926	@cnn	0.0	0.814	0.186	31
231	0.5267	@cnn	0.082	0.703	0.215	32
232	-0.296	@cnn	0.155	0.845	0.0	33
233	0.836	@cnn	0.0	0.622	0.378	34
234	0.836	@cnn	0.0	0.669	0.331	35
235	0.765	@cnn	0.0	0.68	0.32	36
236	0.5859	@cnn	0.0	0.833	0.167	37
237	0.836	@cnn	0.0	0.669	0.331	38
238	0.886	@cnn	0.0	0.62	0.38	39
239	0.886	@cnn	0.0	0.49	0.51	40
240	0.4215	@cnn	0.0	0.859	0.141	41
241	0.0	@cnn	0.0	1.0	0.0	42
242	0.4767	@cnn	0.0	0.744	0.256	43
243	-0.4019	@cnn	0.162	0.838	0.0	44
244	0.5859	@cnn	0.0	0.84	0.16	45
245	0.0	@cnn	0.0	1.0	0.0	46
246	0.0	@cnn	0.0	1.0	0.0	47
247	0.5256	@cnn	0.0	0.841	0.159	48
248	0.5423	@cnn	0.0	0.844	0.156	49
249	0.8885	@cnn	0.0	0.632	0.368	50
250	0.4926	@cnn	0.0	0.814	0.186	51
251	0.5267	@cnn	0.082	0.703	0.215	52
252	-0.296	@cnn	0.155	0.845	0.0	53
253	0.836	@cnn	0.0	0.622	0.378	54
254	0.836	@cnn	0.0	0.669	0.331	55
255	0.765	@cnn	0.0	0.68	0.32	56
256	0.5859	@cnn	0.0	0.833	0.167	57
257	0.836	@cnn	0.0	0.669	0.331	58
258	0.886	@cnn	0.0	0.62	0.38	59
259	0.886	@cnn	0.0	0.49	0.51	60
260	0.4215	@cnn	0.0	0.859	0.141	61
261	0.0	@cnn	0.0	1.0	0.0	62
262	0.4767	@cnn	0.0	0.744	0.256	63
263	-0.4019	@cnn	0.162	0.838	0.0	64
264	0.5859	@cnn	0.0	0.84	0.16	65
265	0.0	@cnn	0.0	1.0	0.0	66
266	0.0	@cnn	0.0	1.0	0.0	67
267	0.5256	@cnn	0.0	0.841	0.159	68
268	0.5423	@cnn	0.0	0.844	0.156	69
269	0.8885	@cnn	0.0	0.632	0.368	70
270	0.4926	@cnn	0.0	0.814	0.186	71
271	0.5267	@cnn	0.082	0.703	0.215	72
272	-0.296	@cnn	0.155	0.845	0.0	73
273	0.836	@cnn	0.0	0.622	0.378	74
274	0.836	@cnn	0.0	0.669	0.331	75
275	0.765	@cnn	0.0	0.68	0.32	76
276	0.5859	@cnn	0.0	0.833	0.167	77
277	0.836	@cnn	0.0	0.669	0.331	78
278	0.886	@cnn	0.0	0.62	0.38	79
279	0.886	@cnn	0.0	0.49	0.51	80
280	0.4215	@cnn	0.0	0.859	0.141	81
281	0.0	@cnn	0.0	1.0	0.0	82
282	0.4767	@cnn	0.0	0.744	0.256	83
283	-0.4019	@cnn	0.162	0.838	0.0	84
284	0.5859	@cnn	0.0	0.84	0.16	85
285	0.0	@cnn	0.0	1.0	0.0	86
286	0.0	@cnn	0.0	1.0	0.0	87
287	0.5256	@cnn	0.0	0.841	0.159	88
288	0.5423	@cnn	0.0	0.844	0.156	89
289	0.8885	@cnn	0.0	0.632	0.368	90
290	0.4926	@cnn	0.0	0.814	0.186	91
291	0.5267	@cnn	0.082	0.703	0.215	92
292	-0.296	@cnn	0.155	0.845	0.0	93
293	0.836	@cnn	0.0	0.622	0.378	94
294	0.836	@cnn	0.0	0.669	0.331	95
295	0.765	@cnn	0.0	0.68	0.32	96
296	0.5859	@cnn	0.0	0.833	0.167	97
297	0.836	@cnn	0.0	0.669	0.331	98
298	0.886	@cnn	0.0	0.62	0.38	99
299	0.886	@cnn	0.0	0.49	0.51	100
300	0.296	@fox	0.0	0.901	0.099	1
301	0.3182	@fox	0.0	0.909	0.091	2
302	0.802	@fox	0.0	0.455	0.545	3
303	0.0	@fox	0.0	1.0	0.0	4
304	-0.296	@fox	0.524	0.476	0.0	5
305	0.636	@fox	0.0	0.193	0.807	6
306	-0.6478	@fox	0.237	0.763	0.0	7
